,gisjoin,year,state,blkgrpa,geoid,white_g3,black_g3,native_g3,asian_g3,hawaiianpacific_g3,other_g3,multiracial_g3,white_nhl_g3,hispanic_latino_g3
3308,G27013700007002,2010-2014,Minnesota,2,15000US271370007002,19,0,0,0,0,0,0,19,0
3309,G27013700007003,2010-2014,Minnesota,3,15000US271370007003,19,0,0,0,0,0,0,19,0
3310,G27013700009001,2010-2014,Minnesota,1,15000US271370009001,0,0,0,0,0,0,0,0,0
3311,G27013700009002,2010-2014,Minnesota,2,15000US271370009002,19,0,0,0,0,0,0,19,0
3312,G27013700009003,2010-2014,Minnesota,3,15000US271370009003,8,0,0,0,0,0,0,8,0
3313,G27013700009004,2010-2014,Minnesota,4,15000US271370009004,0,0,17,0,0,0,0,0,0
3314,G27013700010001,2010-2014,Minnesota,1,15000US271370010001,9,0,0,0,0,0,0,9,0
3315,G27013700011001,2010-2014,Minnesota,1,15000US271370011001,0,0,0,0,0,0,0,0,0
3316,G27013700012001,2010-2014,Minnesota,1,15000US271370012001,5,0,0,0,0,0,0,5,0
3317,G27013700012002,2010-2014,Minnesota,2,15000US271370012002,4,0,0,0,0,0,0,4,0
3318,G27013700013001,2010-2014,Minnesota,1,15000US271370013001,0,0,0,0,0,0,0,0,0
3319,G27013700013002,2010-2014,Minnesota,2,15000US271370013002,5,0,3,0,0,0,0,5,0
3320,G27013700014001,2010-2014,Minnesota,1,15000US271370014001,4,0,0,0,0,0,0,0,4
3321,G27013700014002,2010-2014,Minnesota,2,15000US271370014002,0,0,0,0,0,0,0,0,0
3322,G27013700014003,2010-2014,Minnesota,3,15000US271370014003,0,0,0,0,0,0,0,0,0
3323,G27013700016001,2010-2014,Minnesota,1,15000US271370016001,9,0,0,0,0,0,0,9,0
3324,G27013700016002,2010-2014,Minnesota,2,15000US271370016002,0,0,0,0,0,0,0,0,0
3325,G27013700017001,2010-2014,Minnesota,1,15000US271370017001,0,0,0,0,0,0,0,0,0
3326,G27013700017002,2010-2014,Minnesota,2,15000US271370017002,0,0,0,0,0,0,4,0,0
3327,G27013700018001,2010-2014,Minnesota,1,15000US271370018001,0,0,0,0,0,0,0,0,0
